Row Labels,Sum of popularity,,,,,,,,,
Action,11928138,,,,,,,,,
Adventure,4139111,,,,,,,,,
Avant Garde,923329,,,,,,,,,
Comedy,4549618,,,,,,,,,
Drama,2069236,,,,,,,,,
Fantasy,884407,,,,,,,,,
Hentai,338660,,,,,,,,,
Romance,360791,,,,,,,,,
Sci-Fi,527041,,,,,,,,Row Labels,Sum of mal_id
Sports,624076,,,,,,,,Light novel,12061334
Grand Total,26344407,,,,,,,,Manga,22351130
,,,,,,,,,Original,15012206
,,,,,,,,,Unknown,5094867
,,,,,,,,,Web manga,3128191
,,,,,,,,,Grand Total,57647728
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,Row Labels,Average of score,,,
,,,,,,Attack on Titan Season 3 Part 2,9.05,,,
,,,,,,Frieren: Beyond Journey's End,9.38,,,
,,,,,,Fullmetal Alchemist: Brotherhood,9.09,,,
,,,,,,Gintama Season 4,9.06,,,
,,,,,,Steins;Gate,9.07,,,
,,,,,,Grand Total,9.13,,,
